street	clause	restriction	side	from_point	to_point	extent	schedule	source_text	notes
Forest Street	1	prohibited	north	Walnut Street	a point 208 feet west of Bowdoin Street		all days	Forest Street (1) Prohibited, all days, north side from Walnut Street to a point 208 feet west of Bowdoin Street.	
Forest Street	2	two-hour limit	south	Walnut Street	208 feet west of Bowdoin Street		8:00 a.m. to 6:00 p.m.	Forest Street (2) Two-hour limit, 8:00 a.m. to 6:00 p.m., south side, from Walnut Street to 208 feet west of Bowdoin Street.	
Foster Street	1	prohibited	south				all days	Foster Street (1) Prohibited, all days, south side.	
Foster Street	2	two-hour limit	north					Foster Street (2) Two-hour limit, north side.	
Frances Street	1	two-hour limit	both					Frances Street (1) Two-hour limit, both sides.	
Francis Street	1	prohibited	west	Ward Street	Gamer Street		all days	Francis Street (1) Prohibited, all days, west side from Ward Street to Gamer Street.	
Francis Street	2	two-hour limit	both					Francis Street (2) Two-hour limit, both sides.	
Franklin Street	1	prohibited					all days; 7:00 a.m. to 9:00 a.m.; 4:00 p.m. to 6:00 p.m.	Franklin Street (1) Prohibited, all days: a) 7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m., north side, between Centre Street and Park Street. b) 7:00 a.m. to 9:00 a.m., south side, between Centre Street and Park Street.	has lettered sub-clauses
Frederick Street	1	two-hour limit	both				school days; 8:00 a.m. to 4:00 p.m.	Frederick Street (1) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, except by Newtonville Resident parking permit.	except by Newtonville Resident parking permit
Fuller Street	1	prohibited	north	Dartmouth Street	Commonwealth Avenue		all days	Fuller Street (1) Prohibited, all days, north side from Dartmouth Street westerly to Commonwealth Avenue.	
Fuller Street	2	prohibited	south	a point 450 feet west of Pickwick Road			all days	Fuller Street (2) Prohibited, all days, south side from a point 450 feet west of Pickwick Road westerly 100 feet.	
Fuller Street	3	prohibited	south	Temple Street	Pickwick Road		all days	Fuller Street (3) Prohibited, all days, south side from Temple Street to Pickwick Road.	
Fuller Street	4	prohibited	south	a point 50 feet east of Commonwealth Avenue			Monday through Friday; 8:00 a.m. to 10:00 a.m.	Fuller Street (4) Prohibited, 8:00 a.m. to 10:00 a.m., Monday through Friday, south side, from a point 50 feet east of Commonwealth Avenue, easterly 250 feet.	
Furber Lane	1	prohibited	west				all days	Furber Lane (1) Prohibited, all days, west side.	
Furber Lane	2	two-hour limit	east			entire length	7:00 a.m. to 6:00 p.m.	Furber Lane (2) Two-hour limit, 7:00 a.m. to 6:00 p.m., east side, entire length.	
Gardner Street	1	prohibited	east and south				all days	Gardner Street (1) Prohibited, all days, east and south sides.	
Gardner Street	2	prohibited	north	School Street	a point 45 feet westerly		all days	Gardner Street (2) Prohibited, all days, north side, from School Street to a point 45 feet westerly.	
Gardner Street	3	fifteen-minute limit	west	Pearl Street	a point 200 feet northerly		school days; 8:00 a.m. to 4:00 p.m.	Gardner Street (3) Fifteen-minute limit, 8:00 a.m. to 4:00 p.m., school days, west side from Pearl Street to a point 200 feet northerly.	
Garland Road	1	prohibited	west	Homer Street			all days	Garland Road (1) Prohibited, all days, west side from Homer Street, southerly 127 feet.	
Garland Road	2	prohibited	east	Brentwood Avenue	Beacon Street		all days	Garland Road (2) Prohibited, all days, east side, from Brentwood Avenue to Beacon Street.	
Garland Road	3	no parking	west	Brentwood Avenue	Beacon Street		9:00 a.m. to 11:00 a.m.	Garland Road (3) No parking, 9:00 a.m. to 11:00 a.m., except Sat, Sun and Holidays or by Resident Permit as listed in TPR-202, west side, Brentwood Avenue to Beacon Street.	see TPR-202
Garner Street	1	prohibited	south				all days	Garner Street (1) Prohibited, south side, all days.	
Garrison Street	1	one-hour limit	south	Hammond Street	Manet Road		Saturdays included; 8:00 a.m. to 3:00 p.m.	Garrison Street (1) One-hour limit, Saturdays included, 8:00 a.m. to 3:00 p.m., south side, from Hammond Street to Manet Road.	
Gay Street	1	prohibited	east			entire length	all days	Gay Street (1) Prohibited, all days, east side, entire length.	
Gay Street	2	two-hour limit	west				school days; 8:00 a.m. to 4:00 p.m.	Gay Street (2) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, west side, except by Newtonville Resident parking permit.	Newtonville Resident parking permit exempt
Gibbs Street	1	prohibited				entire length	all days	Gibbs Street (1) Prohibited, all days: (a) South and west sides, entire length. (b) Centre Street to a point 50 feet east of Centre Street, north side. (c) From a point 150 feet north of Everett Street to a point 310 feet north of Everett Street, east and north side.	has lettered sub-clauses
Gibbs Street	2	two-hour limit						Gibbs Street (2) Two-hour limit except by Resident Permit as listed in TPR-202. (a) From Everett Street to a point 150 feet north of Everett Street, east side. (b) From a point 310 feet north of Everett Street to a point 50 feet east of Centre Street, north side.	has lettered sub-clauses; see TPR-202
Glazer Road	1	two-hour limit	both				Saturdays included; 7:00 a.m. to 10:00 p.m.	Glazer Road (1) Two-hour limit, Saturdays included, 7:00 a.m. to 10:00 p.m., both sides.	
Glen Avenue	1	prohibited	both			entire length	all days; 7:00 a.m. to 7:00 p.m.	Glen Avenue (1) Prohibited, all days, 7:00 a.m. to 7:00 p.m., both sides, entire length.	
Glen Avenue	2	two-hour limit	north	Elgin Street	Langley Road		9:00 a.m. to 7:00 p.m.	Glen Avenue (2) Two-hour limit, 9:00 a.m. to 7:00 p.m., north side, from Elgin Street to Langley Road.	
Glen Road	1	prohibited	north	Glen Avenue	Westminster Road		all days	Glen Road (1) Prohibited, all days, north side, from Glen Avenue to Westminster Road.	
Glen Road	2	two-hour limit	south	Glen Avenue	Westminster Road		7:00 a.m. to 7:00 p.m.	Glen Road (2) Two-hour limit, 7:00 a.m. to 7:00 p.m., south side, from Glen Avenue to Westminster Road.	
Glendale Road	1	prohibited	south	Ashford Road			all days	Glendale Road (1) Prohibited, all days, south side from Ashford Road westerly 196 feet.	
Glenmore Terrace	1	one-hour limit				entire length	10:00 a.m. to 2:00 p.m.	Glenmore Terrace (1) One-hour limit, 10:00 a.m. to 2:00 p.m.: a) East side, from a point 40 feet north of Boylston Street, northerly, to the end of the street. b) West side, entire length.	has lettered sub-clauses
Glenmore Terrace	2	prohibited	east	Boylston Street			all days	Glenmore Terrace (2) Prohibited, all days, east side from Boylston Street, northerly 40 feet.	
Gordon Terrace	1	prohibited	both				all days	Gordon Terrace (1) Prohibited, all days, both sides.	
Grant Avenue	1	prohibited	west	Beacon Street			all days	Grant Avenue (1) Prohibited, all days, west side, from Beacon Street, northerly 50 feet.	
Grant Avenue	2	two-hour limit	west	a point 50 feet from Beacon Street	Devon Road		Saturdays included; 8:00 a.m. to 6:00 p.m.	Grant Avenue (2) Two hour limit, Saturdays included, 8:00 a.m. to 6:00 p.m. west side, from a point 50 feet from Beacon Street, northerly to Devon Road.	
Grant Avenue	3	prohibited	east	Beacon Street	Montvale Road		all days	Grant Avenue (3) Prohibited, all days, easterly side from Beacon Street northerly to Montvale Road.	
Grasmere Street	1	two-hour limit	both			entire length	7:00 a.m. to 6:00 p.m.	Grasmere Street (1) Two-hour limit, 7:00 a.m. to 6:00 p.m., both sides, entire length.	
Green Street	1	prohibited	north	West Street	Chapel Street		all days	Green Street (1) Prohibited, all days, north side, from West Street to Chapel Street.	
Green Street	2	prohibited	both	Cook Street	Pearl Street		second Tuesday of every month; 9:00 a.m. to 1:00 p.m.	Green Street (2) Prohibited 9:00 a.m. to 1:00 p.m., both sides, Cook Street to Pearl Street, second Tuesday of every month.	
Greenlawn Avenue	1	prohibited	east	Hancock Avenue			all days	Greenlawn Avenue (1) Prohibited, all days, east side, from Hancock Avenue northerly 192 feet.	
Greenlawn Avenue	2	two-hour limit	west	Hancock Avenue	Brentwood Avenue			Greenlawn Avenue (2) Two-hour limit, west side, from Hancock Avenue to Brentwood Avenue.	
Greenlawn Avenue	3	two-hour limit	east	Park Lane			including Saturdays; 10:00 a.m. to 4:00 p.m.	Greenlawn Avenue (3) Two-hour limit, 10:00 a.m. to 4:00 p.m., including Saturdays, east side, from Park Lane southerly 196 feet.	
Greenough Street	1	two-hour limit	south	Washington Street	Arapahoe Road		8:00 a.m. to 6:00 p.m.	Greenough Street (1) Two hour limit, 8:00 a.m. to 6:00 p.m., south side, from Washington Street to Arapahoe Road.	
Greenwood Street	1	prohibited	south	Lion Drive	Dudley Road		school days; 8:00 a.m. to 4:00 p.m.	Greenwood Street (1) Prohibited, 8:00 a.m. to 4:00 p.m., school days, south side, from Lion Drive to Dudley Road.	street name split across two lines in source
Greylock Road	1	two-hour limit	both				school days; 8:00 a.m. to 4:00 p.m.	Greylock Road (1) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, except by Newtonville Resident parking permit.	Newtonville Resident parking permit exempt
Grove Street	1	prohibited					all days	Grove Street (1) Prohibited, all days: a) from Washington Street to Moulton Street, east side and both sides of the island (no restriction on the west side). b) west side from Moulton Street to Colgate Road. c) west side from Pine Grove Avenue to a point 400 feet south of Woodland Road. d) west side from a point 300 feet south of Woodland Road to Auburn Street. e) east side from Pine Grove Avenue to Norembega Court. f) East side from Hancock Street to a point 30 feet south of Myrtle Avenue. g) east side from Myrtle Street to Auburn Street.	has lettered sub-clauses
Grove Street	2	one-hour limit	east	Norembega Court	Hancock Street		Monday through Friday; 8:00 a.m. to 6:00 p.m.	Grove Street (2) One-hour limit, 8:00 a.m. to 6:00 p.m., Monday through Friday, prohibited Saturdays, east side, from Norembega Court to Hancock Street.	
Grove Street	3	two-hour limit	both	cul-de-sac portion between Central Street and Auburn Street			9:00 a.m. to 5:00 p.m.	Grove Street (3) Two-hour limit, 9:00 a.m. to 5:00 p.m., Monday-Friday, except Holidays, both sides, cul-de-sac portion of Grove Street between Central Street and Auburn Street, except by Auburndale Resident parking permit.	Auburndale Resident parking permit exempt
Grove Hill Avenue	1	two-hour limit	both				school days; 8:00 a.m. to 4:00 p.m.	Grove Hill Avenue (1) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, except by Newtonville Resident parking permit.	Newtonville Resident parking permit exempt
Grove Hill Park	1	prohibited		a point 270 feet south of Prospect Avenue				Grove Hill Park (1) Prohibited, from a point 270 feet south of Prospect Avenue, reservation side.	side=reservation side
Grove Hill Park	2	two-hour limit					school days; 8:00 a.m. to 4:00 p.m.	Grove Hill Park (2) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, except by Newtonville Resident parking permit. a) both sides, from Prospect Avenue, southerly 270 feet. b) residential side, from a point 270 feet south of Prospect Avenue.	has lettered sub-clauses; Newtonville Resident parking permit exempt
Groveland Street	1	prohibited	north			entire length	all days	Groveland Street (1) Prohibited, all days, north side, entire length.	
Groveland Street	2	two-hour limit	south			entire length	8:00 a.m. to 6:00 p.m.	Groveland Street (2) Two-hour limit, 8:00 a.m. to 6:00 p.m., south side, entire length.	
Hagar Street	1	prohibited	both			entire length	all days	Hagar Street (1) Prohibited, both sides, all days, entire length.	
Hagen Road	1	prohibited	south	Olde Field Road	Sheldon Road		all days	Hagen Road (1) Prohibited, south side, all days, Olde Field Road to Sheldon Road.	
Hammond Street	1	prohibited					all days	Hammond Street (1) Prohibited, all days: a) Both sides, from Tudor Road to Woodman Road. b) West side from Suffolk Road to Brookline line. c) East side from Middlesex Road northerly 580 feet.	has lettered sub-clauses
Hammond Street	2	prohibited	east	Middlesex Road	Brookline line		Saturdays included; 7:00 a.m. to 9:00 a.m.	Hammond Street (2) Prohibited, Saturdays included, 7:00 a.m. to 9:00 a.m., east side from Middlesex Road to the Brookline line.	
Hammondswood Road	1	prohibited	both	Hammond Street			7:00 a.m. to 7:00 p.m.	Hammondswood Road (1) Prohibited, 7:00 a.m. to 7:00 p.m., both sides, from Hammond Street northerly 220 feet.	
Hancock Avenue	1	two-hour limit	west	its westerly intersection with Beacon Street	Greenlawn Avenue		7:00 a.m. to 9:00 p.m.	Hancock Avenue (1) Two-hour limit, 7:00 a.m. to 9:00 p.m., west side, from its westerly intersection with Beacon Street to Greenlawn Avenue.	
Hancock Avenue	2	two-hour limit	east	its westerly intersection with Beacon Street			7:00 a.m. to 9:00 p.m.	Hancock Avenue (2) Two-hour limit, 7:00 a.m. to 9:00 p.m., east side, from its westerly intersection from Beacon Street northeasterly 250 feet.	
Hancock Street	1	prohibited	west					Hancock Street (1) Prohibited, west side a) from Central Street to a point 170 feet north of Fern Street. b) from a point 70 feet north of Fern Street to Grove Street.	has lettered sub-clauses
Hancock Street	2	two-hour limit					9:00 a.m. to 5:00 p.m.	Hancock Street (2) Two-hour limit except by Auburndale Permit, Mon - Fri, 9:00 a.m. to 5:00 p.m., except Holidays. a) west side, from a point 170 feet north of Fern Street to a point 70 feet north of Fern Street. b) east side, Lasell Street to Central Street. c) east side, from Grove Street to a point 75 feet south of Lasell Street.	has lettered sub-clauses; Auburndale Permit exempt
Harrington Street	1	prohibited	west				all days	Harrington Street (1) Prohibited, all days, west side.	
Harrison Street	1	prohibited	north	Lincoln Street			all days	Harrison Street (1) Prohibited, all days, north side, from Lincoln Street westerly 175 feet.	
Harrison Street	2	prohibited	south	Lincoln Street			all days	Harrison Street (2) Prohibited, all days, south side, from Lincoln Street westerly 160 feet.	
Harrison Street	3	prohibited	south	a point 100 feet west of Lincoln Street				Harrison Street (3) Prohibited, south side, from a point 100 feet west of Lincoln Street, westerly 90 feet.	
Harrison Street	4	two-hour limit	south	a point 160 feet west of Lincoln	street's terminus		7:00 a.m. to 10:00 p.m.	Harrison Street (4) Two-hour limit, 7:00 a.m. to 10:00 p.m., south side, from a point 160 feet west of Lincoln to the street's terminus.	
